RCID      ,SEQ       ,TRDDATE   ,OFFICE    ,ACCT      ,EX        ,FC        ,YYYYMM    ,STRIKE    ,BUYS      ,SELLS     ,CARD      ,DESC      ,PRICE     ,PRINTPRICE,OPBKR     ,
TRD,27109,020141229,737,B6106,16,ED,201803,.00000000,0,1,1O4J,MAR 18 IMM EURODOLLAR,97.40500000,97.4050,0000
TRD,27586,020141229,737,B6106,16,ED,201803,.00000000,0,1,1O4J,MAR 18 IMM EURODOLLAR,97.40500000,97.4050,0000
TRD,27594,020141229,737,B6106,16,ED,201803,.00000000,0,1,1O4J,MAR 18 IMM EURODOLLAR,97.40500000,97.4050,0000
TRD,27602,020141229,737,B6106,16,ED,201803,.00000000,0,1,1O4J,MAR 18 IMM EURODOLLAR,97.40500000,97.4050,0000
TRD,27604,020141229,737,B6106,16,ED,201803,.00000000,0,1,1O4J,MAR 18 IMM EURODOLLAR,97.40500000,97.4050,0000
TRD,74161,020141229,737,B6106,16,ED,201803,.00000000,0,1,1VGV,MAR 18 IMM EURODOLLAR,97.41000000,97.4100,0000
TRD,27107,020141229,737,B6106,16,ED,201803,.00000000,0,2,1O4J,MAR 18 IMM EURODOLLAR,97.40500000,97.4050,0000
TRD,27588,020141229,737,B6106,16,ED,201803,.00000000,0,2,1O4J,MAR 18 IMM EURODOLLAR,97.40500000,97.4050,0000
TRD,27590,020141229,737,B6106,16,ED,201803,.00000000,0,2,1O4J,MAR 18 IMM EURODOLLAR,97.40500000,97.4050,0000
TRD,74165,020141229,737,B6106,16,ED,201803,.00000000,0,2,1VGV,MAR 18 IMM EURODOLLAR,97.41000000,97.4100,0000
TRD,68474,020141229,737,B6106,16,ED,201803,.00000000,0,2,1UU3,MAR 18 IMM EURODOLLAR,97.47500000,97.4750,0000
TRD,27592,020141229,737,B6106,16,ED,201803,.00000000,0,3,1O4J,MAR 18 IMM EURODOLLAR,97.40500000,97.4050,0000
TRD,27075,020141229,737,B6106,16,ED,201803,.00000000,0,4,1O4J,MAR 18 IMM EURODOLLAR,97.40500000,97.4050,0000
TRD,27596,020141229,737,B6106,16,ED,201803,.00000000,0,4,1O4J,MAR 18 IMM EURODOLLAR,97.40500000,97.4050,0000
TRD,27606,020141229,737,B6106,16,ED,201803,.00000000,0,4,1O4J,MAR 18 IMM EURODOLLAR,97.40500000,97.4050,0000
TRD,68478,020141229,737,B6106,16,ED,201803,.00000000,0,4,1UU3,MAR 18 IMM EURODOLLAR,97.47500000,97.4750,0000
TRD,68480,020141229,737,B6106,16,ED,201803,.00000000,0,4,1UU3,MAR 18 IMM EURODOLLAR,97.47500000,97.4750,0000
TRD,74169,020141229,737,B6106,16,ED,201803,.00000000,0,5,1VGV,MAR 18 IMM EURODOLLAR,97.41000000,97.4100,0000
